ASN,AS类别,核心依赖AS,宣告的前缀数量,客户锥数量,过境度,对等体数量,客户数量,前缀可达占比平均值,AS Rank
AS3356,Tier-1,"AS174, AS6762, AS1299, AS6939, AS2914, AS6453, AS9002, AS3257, AS6461, AS9920",2104,48782,6416,73,6353,0.03,1
AS1299,Tier-1,"AS174, AS2914, AS12552, AS49788, AS44654, AS3356, AS6762, AS6939, AS6461, AS3320, AS6453",131,37885,2295,57,2266,0.42,2
AS174,Tier-1,"AS1299, AS3356, AS2914, AS3257, AS6453, AS3320, AS12552, AS49788, AS44654, AS6762",3509,34781,6663,90,6559,0.07,3
AS2914,Tier-1,"AS174, AS3356, AS1299, AS3257, AS6453, AS52320, AS265269",279,20577,1540,59,1558,0.24,4
AS6762,Tier-1,"AS1299, AS174, AS2914, AS6939, AS3356, AS3257",164,20412,610,55,570,0.66,5
AS3257,Tier-1,"AS2914, AS174, AS3356, AS6762, AS1299, AS6453",1107,19635,1984,83,1960,0.12,6
AS6939,Region Tier-1 AS,"AS12041, AS3356, AS1299, AS6762",171,18897,9533,7459,2072,0.11,7
AS6461,Tier-1,"AS174, AS1299, AS6939, AS2914, AS3257, AS38195, AS3356, AS6453, AS6762",212,17164,2291,293,2023,0.05,8
AS6453,Tier-1,"AS174, AS2914, AS1299, AS3356, AS6762, AS3257, AS6461",119,16772,639,51,605,0.11,9
AS3491,Tier-1,"AS174, AS3356, AS6762, AS2914, AS1299, AS6939, AS6453, AS3257",378,12371,641,140,625,0.07,10
AS5511,Tier-1,"AS3356, AS1299, AS2914, AS174",79,11336,285,49,244,0.07,11
AS1273,Region Tier-1 AS,"AS174, AS3356, AS6762, AS1299, AS2914, AS6939, AS6453, AS3257, AS6461",232,7930,248,109,226,0.02,12
AS9002,Region Tier-1 AS,"AS1299, AS3356, AS23033, AS2914, AS174, AS6762",38,7928,1428,521,972,0.52,13
AS4637,Region Tier-1 AS,"AS3356, AS6762, AS6461, AS6453, AS6939, AS3257, AS1299, AS2914, AS5511, AS174, AS6453, AS1221, AS3320",529,6855,435,271,424,0.05,14
AS12956,Tier-1,"AS6762, AS2914, AS8151, AS1299, AS174, AS3356, AS6453, AS6939, AS3257",75,4672,210,54,213,0.24,15
AS7922,Region Tier-1 AS,"AS174, AS2914, AS1299, AS6939, AS6453, AS3356, AS6762",299,4033,135,83,100,0.33,19
AS1239,Tier-1,"AS174, AS3356, AS6762, AS1299, AS6453, AS2914, AS3257, AS5511, AS6939, AS6461, AS3320, AS3223, AS25145, AS59121, AS34984, AS17676, AS9121",1647,3496,1883,1218,929,0.06,20
AS701,Tier-1,"AS174, AS2914, AS1299, AS6939, AS3491, AS6453, AS5511, AS3356, AS3320, AS6762, AS3257, AS6461, AS3491",1128,3300,1327,42,1386,0.03,22
AS3320,Tier-1,"AS174, AS3356, AS1299, AS6453, AS2914, AS3257, AS6461, ASS6939,
AS6762",503,3159,609,78,599,0.11,24
AS7018,Tier-1,"AS174, AS3356, AS6762, AS6453, AS1299, AS6939, AS2914, AS23749, AS3257, AS3223, AS25145, AS34984, AS3491, AS6461, AS9002, AS9049, AS15412, AS3320",2304,3021,2322,38,2450,0.11,25
AS6830,Tier-1,"AS174, AS2914, AS6939, AS6453, AS3356, AS1299, AS3257, AS6762",273,2402,454,171,326,0.05,29
AS15412,Region Tier-1 AS,"AS174, AS1299, AS2914, AS6939, AS6762, AS6453",46,1762,108,493,58,0.01,38
AS4766,Region Tier-1 AS,"AS174, AS3356, AS6939, AS2914, AS1299, AS701, AS3257, AS3320, AS6762, AS6461",2843,1082,538,79,504,0.02,49
AS4134,Region Tier-1 AS,"AS174, AS1299, AS6939, AS58779, AS6762, AS2914, AS6453, AS3356, AS6461, AS3257, AS701, AS6461",744,927,155,162,117,0.03,59
AS2516,Region Tier-1 AS,"AS174, AS3356, AS32787, AS1299, AS3257, AS6461, AS2914, AS6453, AS6939, AS6453",1250,514,292,123,182,0.09,86
AS2828,Region Tier-1 AS,"AS174, AS3356, AS1299, AS2914, AS3257, AS6453",109,473,339,31,332,0.01,93
AS702,Region Tier-1 AS,"AS174, AS1299, AS3356, AS701, AS3257, AS6461, AS6939, AS2914",199,285,210,48,187,0.01,168
AS4837,Region Tier-1 AS,"AS174, AS6762, AS10099, AS2914, AS1239, AS701, AS1299, AS6939, AS5511, AS3257, AS4134, AS3356, AS6453, AS702, AS6461",958,283,107,37,77,0.06,170
AS1257,Region Tier-1 AS,"AS174, AS3356, AS1299, AS6939, AS3257, AS6453, AS8473, AS29468, AS197603, AS2914, AS9002",478,254,199,71,189,0.03,180
AS41327,Region Tier-1 AS,"AS174, AS3356, AS3257, AS1299, AS2914, AS3320, AS6453, AS6762, AS1299",22,164,151,2106,117,0.17,265
AS3292,Region Tier-1 AS,"AS1299, AS3257, AS6453, AS3320, AS3356, AS6939, AS2914, AS6762",150,153,129,257,105,0.03,290
AS2686,Region Tier-1 AS,"AS174, AS1299, AS6939, AS6453, AS3356, AS7018, AS2914",165,124,129,146,105,0.01,346
